######################################################################
# This is a configuration file for downloading Chinese or English data
######################################################################
#
# Chinese
# Name, URL
ZH_chinese_talk_show, https://www.youtube.com/playlist?list=PL588122AE4531B435
ZH_popular_chinese_dream_show, https://www.youtube.com/playlist?list=PL1U-PXvYzM-kVYOEcJ-zV12kRC8ak2JO9
ZH_chinese_talk_shows, https://www.youtube.com/playlist?list=PLUYPwxhI5N1yFB309XQjt25m85o5SqA-5
ZH_listen_to_your_trouble, https://www.youtube.com/playlist?list=PLgzU3TD6BWQdmG-SFVi9MLpTcXy80SryD
ZH_waiting_for_me, https://www.youtube.com/playlist?list=PL0eGJygpmOH7QNF2BJma-9PZ9-NUqvU6M
ZH_funny_talk_show, https://www.youtube.com/playlist?list=PLvJO9D6AjpJuGJmWPVCrm7FghVfu1eLO8
ZH_shanghai_dialect_talk_show, https://www.youtube.com/playlist?list=PLAyEv1wrVt_NvWbQs-0uz-e2sbwxF7pGk
ZH_another_chinese_talk_show, https://www.youtube.com/playlist?list=PL951724501F40EC7A
ZH_trailer_chinese_talk_show, https://www.youtube.com/playlist?list=PLJjcRsSh5UwHm2TLP7YMfrql7wNiFYlHp
ZH_china_talk_show, https://www.youtube.com/playlist?list=PLqPBfhEa0r9QD0Z2Ls591NyhXS4Ey5g-r
ZH_chinese_talk_show_b00, https://www.youtube.com/playlist?list=PL0Uj0Twn_7cz8mwC8u1HqgjonSgQyBqTn
ZH_adam_lambert_in_china, https://www.youtube.com/playlist?list=PL9NojPJDgChVLxX8ud_rlnAjY-F3-yN-r
ZH_china_i_ream_show, https://www.youtube.com/playlist?list=PL_iNS5hiTd9N5Tap1Sidp4PxPtqd1XOcD
ZH_talk_show_chinese, https://www.youtube.com/playlist?list=PLF8DF17148A4E2500
ZH_chinese_talk_show_serene, https://www.youtube.com/playlist?list=PLWwWXFw_PlnPTr8QXTc1AwZu9iTyhqwWD
ZH_chinese_talk_show_gina, https://www.youtube.com/playlist?list=PLml50Go_BUNBufgd7DhcFvUt3DwIiDYx3
ZH_chinese_talk_show_2012, https://www.youtube.com/playlist?list=PLOxuiinEi6F26QCpAsPyPrmWkL3InI6-V
